Subject,1000 Genomes_ID
UBU001,HG00096.vcf.gz
UBU003,HG00097.vcf.gz
UBU005,HG00099.vcf.gz
UBU009,HG00100.vcf.gz
UBU024,HG00101.vcf.gz
UBU010,HG00102.vcf.gz
UBU025,HG00103.vcf.gz
UBU012,HG00104.vcf.gz
UBU022,HG00106.vcf.gz
UBU032,HG00108.vcf.gz
UBU033,HG00109.vcf.gz
UBU026,HG00110.vcf.gz
UBU028,HG00111.vcf.gz
UBU035,HG00112.vcf.gz
UBU036,HG00113.vcf.gz
UBU040,HG00114.vcf.gz
UBU046,HG00116.vcf.gz
UBU047,HG00117.vcf.gz
UBU048,HG00118.vcf.gz
UBU049,HG00119.vcf.gz
UBU013,HG00121.vcf.gz
UBU034,HG00122.vcf.gz
UBU015,HG00123.vcf.gz
UBU016,HG00124.vcf.gz
UBU017,HG00125.vcf.gz
UBU050,HG00126.vcf.gz
UBU042,HG00127.vcf.gz
UBU019,HG00128.vcf.gz
UBU051,HG00129.vcf.gz
UBU020,HG00130.vcf.gz
UBU052,HG00131.vcf.gz
UBU023,HG00134.vcf.gz
UBU053,HG00138.vcf.gz
UBU054,HG00139.vcf.gz
UBU055,HG00140.vcf.gz
UBU056,HG00141.vcf.gz
UBU057,HG00142.vcf.gz
UBU058,HG00143.vcf.gz
UBU059,HG00150.vcf.gz
UBU002,HG00151.vcf.gz
UBU027,HG00155.vcf.gz
UBU030,HG00159.vcf.gz
UBU043,HG00160.vcf.gz
UBU021,HG00234.vcf.gz
